,,,,,,,,,,Métrage en m ,Position,taille mm,taille mm,,,,
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,3.991,1184.617,1.423,0.974,0.000,62,62,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,30.998,1349.886,1.800,3.087,0.000,80,80,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,40.193,1316.243,2.576,4.693,0.000,89,89,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,57.773,848.405,3.061,7.828,0.000,96,96,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,101.200,1151.036,1.067,1.628,0.000,115,115,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,111.352,1093.647,0.883,2.277,0.000,120,120,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,1291.855,1343.772,24.124,9.612,0.000,751,751,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,827.186,180.238,12.458,5.038,0.000,498,498,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,874.199,1701.103,32.804,24.214,0.000,511,511,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,943.022,1543.939,2.773,4.296,0.000,531,531,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,1183.092,947.806,1.755,1.792,0.000,627,627,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,1202.354,639.061,3.595,1.593,0.000,636,636,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,1229.692,839.897,0.959,1.624,0.000,672,672,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,13,1391,634.021,477.321,2.813,3.030,0.000,416,416,0'
